IME,VOKATIV
Aca,Aco
Aco,Aco
Adam,Adame
Adelina,Adelina
Adrian,Adriane
Adrijana,Adrijana
Agaton,Agatone
Agnica,Agnice
Agnija,Agnija
Aksa,Akso
Aksentije,Aksentije
Akso,Akso
Aleks,Aleks
Aleksa,Aleksa
Alex,Aleks
Aleksandar,Aleksandre
Aleksandra,Aleksandra
Aleksej,Aleksej
Aleksija,Aleksija
Aleksije,Aleksije
Alimpije,Alimpije
Ana,Ana
Anja,Anja
Anastasija,Anastasija
Anda,Anda
Andra,Andro
Andrea,Andrea
Andrej,Andrej
Andreja,Andreja
Andrija,Andrija
Andrijana,Andrijana
Andrijaš,Andrijaše
Andro,Andro
Andronik,Androniče
Angelina,Angelina
Anica,Anice
Anka,Anka
Ankica,Ankice
Anta,Anto
Anto,Anto
Antonija,Antonija
Antonije,Antonije
Antonina,Antonina
Anđa,Anđo
Anđela,Anđela
Anđelija,Anđelija
Anđelka,Anđelka
Anđelko,Anđelko
Anđelo,Anđelo
Aranđel,Aranđele
Arman,Armane
Arpad,Arpade
Arsa,Arso
Arsen,Arsene
Arsenije,Arsenije
Arso,Arso
Atanacko,Atanacko
Atanasija,Atanasija
Atanasije,Atanasije
Avakum,Avakume
Avdula,Avdula
Avram,Avrame
Aćim,Aćime
Bajko,Bajko
Bajo,Bajo
Bajčeta,Bajčeta
Balša,Balša
Bane,Bane
Batrić,Batriću
Berisav,Berisave
Berislav,Berislave
Berislava,Berislava
Beriša,Beriša
Berko,Berko
Biljan,Biljane
Biljana,Biljana
Bisenija,Bisenija
Biserka,Biserka
Biserko,Biserko
Blagica,Blagice
Blaginja,Blaginja
Blagoja,Blagoja
Blagoje,Blagoje
Blagojka,Blagojka
Blagomir,Blagomire
Blagota,Blagota
Blaško,Blaško
Blaža,Blažo
Blaže,Blaže
Blažen,Blažene
Blaženka,Blaženka
Blažeta,Blažeta
Blažimir,Blažimire
Blažo,Blažo
Boban,Bobane
Bobana,Bobana
Bobiša,Bobiša
Bogdan,Bogdane
Bogdana,Bogdana
Bogdanka,Bogdanka
Bogelj,Bogelju
Bogić,Bogiću
Bogiša,Bogiša
Boginja,Boginja
Bogoboj,Bogoboju
Bogoje,Bogoje
Bogoljub,Bogoljube
Bogomir,Bogomire
Bogosav,Bogosave
Bogoslav,Bogoslave
Boica,Boice
Boin,Boine
Boja,Bojo
Bojan,Bojane
Bojana,Bojana
Bojka,Bojka
Bojko,Bojko
Bojo,Bojo
Bojčeta,Bojčeta
Bora,Boro
Boran,Borane
Borica,Borice
Borika,Borika
Boris,Borise
Borisav,Borisave
Borislav,Borislave
Borislava,Borislava
Borislavka,Borislavka
Borivoj,Borivoju
Borivoje,Borivoje
Boriša,Boriša
Borjana,Borjana
Borjanka,Borjanka
Borka,Borka
Borko,Borko
Boro,Boro
Boroje,Boroje
Bosa,Boso
Bosanka,Bosanka
Bosiljka,Bosiljka
Bosna,Bosna
Boško,Boško
Boža,Božo
Božana,Božana
Božica,Božice
Božidar,Božidare
Božidarka,Božidarka
Božin,Božine
Božina,Božina
Božinka,Božinka
Božićko,Božićko
Božo,Božo
Božur,Božure
Bracan,Bracane
Brajan,Brajane
Brajica,Brajice
Brana,Brano
Brane,Brane
Branimir,Branimire
Branisav,Branisave
Branislav,Branislave
Branislava,Branislava
Branislavka,Branislavka
Branivoj,Branivoju
Branivoje,Branivoje
Braniša,Braniša
Branka,Branka
Brankica,Brankice
Branko,Branko
Brano,Brano
Bratimir,Bratimire
Bratislav,Bratislave
Bratislava,Bratislava
Bratoljub,Bratoljube
Bratovan,Bratovane
Brnča,Brnča
Buda,Budo
Budimir,Budimire
Budimirka,Budimirka
Budimka,Budimka
Budisav,Budisave
Budislav,Budislave
Budislava,Budislava
Budislavka,Budislavka
Caja,Cajo
Cajka,Cajka
Caka,Cako
Cakan,Cakane
Cakana,Cakana
Caki,Caki
Cana,Cano
Cane,Cane
Ceca,Ceco
Cmilja,Cmiljo
Cmiljana,Cmiljana
Cmiljka,Cmiljka
Curko,Curko
Cveja,Cvejo
Cvejan,Cvejane
Cveta,Cveto
Cvetan,Cvetane
Cvetana,Cvetana
Cvetanka,Cvetanka
Cvetin,Cvetine
Cvetko,Cvetko
Cvetoje,Cvetoje
Cvetomir,Cvetomire
Cvetoš,Cvetoše
Cvija,Cvijo
Cvijan,Cvijane
Cvijeta,Cvijeto
Cvijetin,Cvijetine
Cvijo,Cvijo
Cviko,Cviko
Cvjetan,Cvjetane
Cvjetko,Cvjetko
Cvjetoje,Cvjetoje
Cvjetoš,Cvjetoše
Čarna,Čarna
Časlav,Časlave
Časlavka,Časlavka
Čeda,Čedo
Čedo,Čedo
Čedomir,Čedomire
Čedomirka,Čedomirka
Čubrilo,Čubrilo
Ćana,Ćano
Ćanka,Ćanka
Ćerana,Ćerana
Ćetko,Ćetko
Ćile,Ćile
Ćira,Ćiro
Ćirilo,Ćirilo
Ćirjak,Ćirjače
Ćirka,Ćirka
Ćirko,Ćirko
Ćiro,Ćiro
Ćuba,Ćubo
Dabiša,Dabiša
Dabiživ,Dabižive
Dabo,Dabo
Dafina,Dafina
Dajana,Dajana
Dalibor,Dalibore
Daliborka,Daliborka
Damir,Damire
Damjan,Damjane
Damjanka,Damjanka
Damljan,Damljane
Damljanka,Damljanka
Damnjan,Damnjane
Dana,Dano
Dane,Dane
Danica,Danice
Danijel,Danijele
Danijela,Danijela
Danilo,Danilo
Danka,Danka
Danko,Danko
Danojla,Danojla
Danojlo,Danojlo
Dančul,Dančule
Dara,Daro
Daria,Daria
Darija,Darija
Darije,Darije
Darijo,Darijo
Darinka,Darinka
Dario,Dario
Darjan,Darjane
Darka,Darka
Darko,Darko
David,Davide
Davor,Davore
Davorjanka,Davorjanka
Davorka,Davorka
Daša,Dašo
Dejan,Dejane
Dejana,Dejana
Delivoje,Delivoje
Desa,Deso
Desanka,Desanka
Desimir,Desimire
Desimirka,Desimirka
Despina,Despina
Despinja,Despinja
Despot,Despote
Dea,Dea
Deva,Devo
Dikosava,Dikosava
Dimitrije,Dimitrije
Dimčo,Dimčo
Dino,Dino
Dionisije,Dionisije
Divna,Divna
Dmitar,Dmitre
Dimitra,Dimitra
Dobrašin,Dobrašine
Dobrica,Dobrice
Dobrija,Dobrija
Dobrila,Dobrila
Dobrilo,Dobrilo
Dobrina,Dobrina
Dobrinka,Dobrinka
Dobrinko,Dobrinko
Dobrisav,Dobrisave
Dobrislav,Dobrislave
Dobrivoj,Dobrivoj
Dobrivoje,Dobrivoje
Dobrosav,Dobrosave
Dobrosava,Dobrosava
Dobrosavka,Dobrosavka
Dobroslav,Dobroslave
Dobroslava,Dobroslava
Dobroslavka,Dobroslavka
Dobrovuk,Dobrovuče
Dojčilo,Dojčilo
Dojčin,Dojčine
Dokna,Dokna
Doko,Doko
Dora,Dora
Doris,Dorise
Dorotej,Doroteju
Doroteja,Doroteja
Dositej,Dositeju
Dostana,Dostana
Draga,Draga
Dragan,Dragane
Dragana,Dragana
Dragaš,Dragaše
Dragi,Dragi
Dragica,Dragice
Dragija,Dragija
Draginja,Draginja
Dragisav,Dragisave
Dragislav,Dragislave
Dragić,Dragiću
Dragiša,Dragiša
Drago,Drago
Dragobrat,Dragobrate
Dragodan,Dragodane
Dragoja,Dragoja
Dragoje,Dragoje
Dragojla,Dragojla
Dragojlo,Dragojlo
Dragoljub,Dragoljube
Dragoman,Dragomane
Dragomir,Dragomire
Dragomira,Dragomira
Dragomirka,Dragomirka
Dragorad,Dragorade
Dragosav,Dragosave
Dragosije,Dragosije
Dragoslav,Dragoslave
Dragoslava,Dragoslava
Dragoslavka,Dragoslavka
Dragovan,Dragovane
Dragoš,Dragoše
Dragutin,Dragutine
Drailo,Drailo
Drakša,Drakša
Draško,Draško
Draža,Dražo
Draže,Draže
Dražen,Dražene
Dražimir,Dražimire
Dražo,Dražo
Drena,Dreno
Drenka,Drenka
Drgorad,Drgorade
Drina,Drino
Drinka,Drinka
Dubravac,Dubravče
Dubravka,Dubravka
Dubravko,Dubravko
Dujak,Dujače
Duka,Duko
Dukadin,Dukadine
Dunja,Dunja
Dušan,Dušane
Dušana,Dušana
Dušanka,Dušanka
Dušica,Dušice
Duška,Duška
Duško,Duško
Dvorka,Dvorka
Đenadije,Đenadije
Đoka,Đoko
Đokica,Đokice
Đoko,Đoko
Đora,Đoro
Đorđe,Đorđe
Đorđije,Đorđije
Đorđina,Đorđina
Đorđo,Đorđo
Đuka,Đuko
Đukan,Đukane
Đulijana,Đulijana
Đura,Đuro
Đuran,Đurane
Đurađ,Đurađe
Đuraš,Đuraše
Đurašin,Đurašine
Đuraško,Đuraško
Đurica,Đurice
Đurisav,Đurisave
Đurisava,Đurisava
Đuriša,Đuriša
Đurko,Đurko
Đuro,Đuro
Đurđa,Đurđa
Đurđe,Đurđe
Đurđevka,Đurđevka
Đurđica,Đurđice
Đurđija,Đurđija
Đurđijana,Đurđijana
Đurđina,Đurđina
Evgenija,Evgenija
Ekatarina,Ekatarina
Ekaterina,Ekaterina
Elena,Elena
Eleonora,Eleonora
Elizabeta,Elizabeta
Ema,Ema
Emil,Emile
Emilija,Emilija
Emilijan,Emilijane
Emilije,Emilije
Erak,Erače
Eva,Evo
Evan,Evane
Evana,Evana
Evanka,Evanka
Evdokija,Evdokija
Evgenija,Evgenija
Evgenije,Evgenije
Evica,Evice
Evo,Evo
Fanija,Fanija
Fedor,Fedore
Fema,Femo
Femka,Femka
Feodor,Feodore
Filiman,Filimane
Filimon,Filimone
Filip,Filipe
Filipa,Filipa
Filipinka,Filipinka
Filotej,Filoteju
Fotije,Fotije
Gabrijela,Gabrijela
Gaga,Gago
Gaja,Gaja
Gajin,Gajine
Gajo,Gajo
Gavra,Gavro
Gavrila,Gavrila
Gavrilka,Gavrilka
Gavrilo,Gavrilo
Gavro,Gavro
Gača,Gačo
Genadije,Genadije
Georgije,Georgije
Georgina,Georgina
Gerasim,Gerasime
German,Germane
Gligor,Gligore
Gligorije,Gligorije
Gliša,Glišo
Glišo,Glišo
Glorija,Glorija
Goca,Goco
Godomir,Godomire
Gojimir,Gojimire
Gojko,Gojko
Golub,Golube
Goran,Gorane
Gorana,Gorana
Goranka,Goranka
Gordan,Gordane
Gordana,Gordana
Gorica,Gorice
Gorjan,Gorjane
Gorjana,Gorjana
Goroljub,Goroljube
Gorčilo,Gorčilo
Gorčin,Gorčine
Gospana,Gospana
Gospava,Gospava
Gostimir,Gostimire
Gostoljub,Gostoljube
Gradeta,Gradeta
Gradimir,Gradimire
Gradimirka,Gradimirka
Gradiša,Gradiša
Grdan,Grdane
Grgur,Grgure
Grigorije,Grigorije
Grijak,Grijače
Grozda,Grozdo
Grozdan,Grozdane
Grozdana,Grozdana
Grubac,Grubače
Gruban,Grubane
Grubač,Grubače
Grubeta,Grubeta
Grubeša,Grubeša
Grubiša,Grubiša
Gruja,Grujo
Grujica,Grujice
Grujo,Grujo
Gvozden,Gvozdene
Gvozdenija,Gvozdenija
Gvozdenka,Gvozdenka
Gvozdenko,Gvozdenko
Hariton,Haritone
Helena,Helena
Hranimir,Hranimire
Hranislav,Hranislave
Hranislava,Hranislava
Hranislavka,Hranislavka
Hraniša,Hraniša
Hrastimir,Hrastimire
Hristijan,Hristijane
Hristina,Hristina
Hristivoj,Hristivoju
Hristivoje,Hristivoje
Hristof,Hristofe
Hristoslav,Hristoslave
Hvalimir,Hvalimire
Hvalislav,Hvalislave
Ignjat,Ignjate
Ignjatije,Ignjatije
Igor,Igore
Ikonija,Ikonija
Ilija,Ilija
Ilina,Ilina
Ilinka,Ilinka
Ilinko,Ilinko
Irena,Irena
Irina,Irina
Isaija,Isaija
Isailo,Isailo
Isak,Isače
Isidor,Isidore
Isidora,Isidora
Iskra,Iskra
Ismail,Ismaile
Iva,Ivo
Ivan,Ivane
Ivana,Ivana
Ivaniš,Ivaniše
Ivanka,Ivanka
Ivica,Ivice
Ivka,Ivka
Ivko,Ivko
Ivo,Ivo
Ivona,Ivona
Ina,Ina
Jablan,Jablane
Jadranka,Jadranka
Jadranko,Jadranko
Jaglika,Jaglika
Jagoda,Jagoda
Jagodinka,Jagodinka
Jagoš,Jagoše
Jakov,Jakove
Jakša,Jakša
Jana,Jano
Jandre,Jandre
Jandrija,Jandrija
Janica,Janice
Janićije,Janićije
Janja,Janjo
Janko,Janko
Janovka,Janovka
Janča,Janča
Jaroslav,Jaroslave
Jasen,Jasene
Jasenko,Jasenko
Jasmina,Jasmina
Jasminka,Jasminka
Jasna,Jasna
Javorka,Javorka
Javorko,Javorko
Jefimija,Jefimija
Jeftimije,Jeftimije
Jegda,Jegdo
Jeka,Jeko
Jela,Jelo
Jelača,Jelača
Jelašin,Jelašine
Jelen,Jelene
Jelena,Jelena
Jelenka,Jelenka
Jelenko,Jelenko
Jelica,Jelice
Jelika,Jelika
Jelisav,Jelisave
Jelisava,Jelisava
Jelisaveta,Jelisaveta
Jelisavka,Jelisavka
Jelisije,Jelisije
Jelka,Jelka
Jeremija,Jeremija
Jeremije,Jeremije
Jerina,Jerina
Jerko,Jerko
Jerotije,Jerotije
Jesenko,Jesenko
Jeva,Jevo
Jevdokija,Jevdokija
Jevrem,Jevreme
Jevrosima,Jevrosima
Jevta,Jevto
Jevtan,Jevtane
Jevtimije,Jevtimije
Jevto,Jevto
Jezda,Jezdo
Jezdimir,Jezdimire
Ješa,Ješo
Joakim,Joakime
Joka,Joko
Jokan,Jokane
Joko,Joko
Joksim,Joksime
Jordan,Jordane
Jordanka,Jordanka
Jorgovanka,Jorgovanka
Josif,Josife
Josip,Josipe
Jova,Jovo
Jovan,Jovane
Jovana,Jovana
Jovanka,Jovanka
Jovica,Jovice
Joviša,Joviša
Jovka,Jovka
Jovko,Jovko
Jovo,Jovo
Jugoljub,Jugoljube
Jugomir,Jugomire
Jugoslav,Jugoslave
Jula,Julo
Julija,Julija
Julijan,Julijane
Julijana,Julijana
Julka,Julka
Julkica,Julkice
Junoša,Junoša
Juriša,Juriša
Juroš,Juroše
Justin,Justine
Justina,Justina
Kadivka,Kadivka
Kalin,Kaline
Kalina,Kalina
Kalinka,Kalinka
Kamenko,Kamenko
Kasija,Kasija
Kata,Kato
Katarina,Katarina
Katica,Katice
Kazimir,Kazimire
Kazimira,Kazimira
Kažimir,Kažimire
Kiprijan,Kiprijane
Kirilo,Kirilo
Kitan,Kitane
Klara,Klaro
Kleopatra,Kleopatra
Kojadin,Kojadine
Kojadinka,Kojadinka
Kojčin,Kojčine
Kokan,Kokane
Komnen,Komnene
Komnenija,Komnenija
Konstantin,Konstantine
Kornelije,Kornelije
Kosa,Koso
Kosana,Kosana
Kosanka,Kosanka
Kosara,Kosara
Kosovka,Kosovka
Kosta,Kosta
Kostadin,Kostadine
Kostadina,Kostadina
Kostadinka,Kostadinka
Kovana,Kovana
Koviljka,Koviljka
Koviljko,Koviljko
Kovina,Kovina
Kovinka,Kovinka
Kozma,Kozma
Koča,Koča
Koštana,Koštana
Kraguj,Kraguje
Krainka,Krainka
Kraisav,Kraisave
Kraisava,Kraisava
Krajčin,Krajčine
Krasimir,Krasimire
Krasoje,Krasoje
Kristina,Kristina
Kristivoje,Kristivoje
Krsjana,Krsjana
Krsman,Krsmane
Krsmanija,Krsmanija
Krsta,Krsto
Krstan,Krstane
Krstana,Krstana
Krstimir,Krstimire
Krstina,Krstina
Krstinja,Krstinja
Krstivoje,Krstivoje
Krsto,Krsto
Krstomir,Krstomire
Kruna,Kruno
Krunislav,Krunislave
Krunislava,Krunislava
Krunislavka,Krunislavka
Krunoslav,Krunoslave
Krunoslava,Krunislava
Krunoslavka,Krunoslavka
Ksenija,Ksenija
Kumodrag,Kumodraže
Kuzman,Kuzmane
Labud,Labude
Laka,Lako
Laketa,Laketa
Lako,Lako
Lale,Lale
Lana,Lano
Lara,Laro
Lata,Lato
Latinka,Latinka
Laza,Lazo
Lazar,Lazare
Lazo,Lazo
Lela,Lela
Lena,Leno
Lenka,Lenka
Leonida,Leonida
Leonora,Leonora
Leontije,Leontije
Lepa,Lepa
Lepoje,Lepoje
Lepomir,Lepomire
Leposava,Leposava
Leposlav,Leposlave
Ležimir,Ležimire
Lidija,Lidija
Lila,Lila
Lilijana,Lilijana
Liza,Liza
Ljepava,Ljepava
Ljeposava,Ljeposava
Ljilja,Ljiljo
Ljiljan,Ljiljane
Ljiljana,Ljiljana
Ljuba,Ljubo
Ljuban,Ljubane
Ljuben,Ljubene
Ljubenko,Ljubenko
Ljubica,Ljubice
Ljubina,Ljubina
Ljubinka,Ljubinka
Ljubinko,Ljubinko
Ljubisav,Ljubisave
Ljubisavka,Ljubisavka
Ljubislav,Ljubislave
Ljubivoje,Ljubivoje
Ljubiša,Ljubiša
Ljubo,Ljubo
Ljubobrat,Ljubobrate
Ljubodrag,Ljubodraže
Ljuboja,Ljuboje
Ljuboje,Ljuboje
Ljubomir,Ljubomire
Ljubomirka,Ljubomirka
Ljubosava,Ljubosava
Ljupka,Ljupka
Ljupko,Ljupko
Ljupče,Ljupče
Lola,Lolo
Loza,Lozo
Lozan,Lozane
Lozana,Lozana
Lozanka,Lozanka
Lozinka,Lozinka
Lucija,Lucija
Lujo,Lujo
Luka,Luka
Luna,Luna
Luča,Luča
Lučija,Lučija
Magda,Magda
Magdalena,Magdalena
Maja,Majo
Majda,Majda
Makarije,Makarije
Makivija,Makivija
Makrena,Makrena
Maksim,Maksime
Maksimilijan,Maksimilijane
Maleta,Maleta
Maleš,Maleše
Malina,Malina
Malinka,Malinka
Mališa,Mališa
Manda,Mando
Manduša,Manduša
Mane,Mane
Manojlo,Manojlo
Mara,Maro
Margareta,Margareta
Marica,Marice
Marija,Marija
Marijan,Marijane
Marijana,Marijana
Marina,Marina
Marinka,Marinka
Marinko,Marinko
Marisav,Marisave
Marislav,Marislave
Marjan,Marjane
Marko,Marko
Marta,Marta
Martin,Martine
Matej,Matej
Mateja,Mateja
Matija,Matija
Matijaš,Matijaše
Mato,Mato
Mavren,Mavrene
Maša,Mašo
Mašan,Mašane
Mašinka,Mašinka
Maško,Maško
Medak,Medače
Melanija,Melanija
Melenija,Melenija
Melentije,Melentije
Metodije,Metodije
Metohija,Metohijo
Mihailo,Mihailo
Mihajlo,Mihajlo
Miholjka,Miholjka
Mija,Mijo
Mijailo,Mijailo
Mijak,Mijače
Mijalko,Mijalko
Mijan,Mijane
Mijana,Mijana
Mijat,Mijate
Mijo,Mijo
Mijobrat,Mijobrate
Mijuško,Mijuško
Mikailo,Mikailo
Mikica,Mikice
Mikaina,Mikaina
Mikan,Mikane
Mikonja,Mikonja
Mikosava,Mikosava
Mikoš,Mikoše
Mila,Mila
Miladija,Miladija
Miladin,Miladine
Miladinka,Miladinka
Milak,Milače
Milan,Milane
Milana,Milana
Milanka,Milanka
Milanko,Milanko
Milat,Milate
Milaš,Milaše
Milašin,Milašine
Mile,Mile
Milen,Milene
Milena,Milena
Milenija,Milenija
Milenka,Milenka
Milenko,Milenko
Milentije,Milentije
Milesa,Milesa
Mileta,Mileta
Mileva,Mileva
Milevka,Milevka
Mileš,Mileše
Mili,Mili
Milica,Milice
Milija,Milija
Milijan,Milijane
Milijana,Milijana
Milijaš,Milijaše
Milika,Milika
Milimir,Milimire
Milimirka,Milimirka
Milin,Miline
Milina,Milina
Milinka,Milinka
Milinko,Milinko
Milisav,Milisave
Milisava,Milisava
Milisavka,Milisavka
Milivoj,Milivoje
Milivoje,Milivoje
Milivojka,Milivojka
Milić,Miliću
Miličko,Miličko
Miliša,Miliša
Milja,Miljo
Miljan,Miljane
Miljana,Miljana
Miljen,Miljene
Miljka,Miljka
Miljkan,Miljkane
Miljko,Miljko
Miljojko,Miljojko
Miljurko,Miljurko
Milka,Milka
Milkan,Milkane
Milkica,Milkice
Milko,Milko
Milna,Milna
Milo,Milo
Milobran,Milobrane
Miloica,Miloice
Miloja,Miloja
Miloje,Miloje
Milojica,Milojice
Milojka,Milojka
Milojko,Milojko
Miloljub,Miloljube
Milomir,Milomire
Milomirka,Milomirka
Milonja,Milonja
Milorad,Milorade
Milosav,Milosave
Milosava,Milosava
Milosavka,Milosavka
Milosija,Milosija
Miloslav,Miloslave
Milovan,Milovane
Milovanka,Milovanka
Miloš,Miloše
