IME,VOKATIV
Milten,Miltene
Miluka,Miluka
Milun,Milune
Miluna,Miluna
Milunika,Milunika
Milunka,Milunka
Milutin,Milutine
Miluš,Miluše
Miluša,Miluša
Mina,Mina
Minja,Minja
Miodrag,Miodraže
Mioljka,Mioljka
Mioljub,Mioljube
Miomir,Miomire
Miomira,Miomira
Miomirka,Miomirka
Miona,Miona
Mionka,Mionka
Mira,Miro
Miraš,Miraše
Miren,Mirene
Mirjana,Mirjana
Mirka,Mirka
Mirko,Mirko
Mirna,Mirna
Miro,Miro
Miroje,Miroje
Miroljub,Miroljube
Mirosav,Mirosave
Mirosava,Mirosava
Mirosinka,Mirosinka
Miroslav,Miroslave
Miroslava,Miroslava
Miroslavka,Miroslavka
Mirča,Mirča
Mirčeta,Mirčeta
Mita,Mito
Mitar,Mitre
Mitra,Mitra
Mića,Mićo
Mićan,Mićane
Mićko,Mićko
Mićo,Mićo
Mićun,Mićune
Miša,Mišo
Miško,Miško
Mišljen,Mišljene
Mišo,Mišo
Mladen,Mladene
Mladena,Mladena
Mladenka,Mladenka
Mladomir,Mladomire
Mlađan,Mlađane
Mlađen,Mlađene
Mojaš,Mojaše
Mojsilo,Mojsilo
Momir,Momire
Momira,Momira
Momirka,Momirka
Momčilo,Momčilo
Monika,Monika
Moša,Mošo
Mrkša,Mrkša
Mrđan,Mrđane
Mrđen,Mrđene
Nada,Nado
Nadežda,Nadežda
Nadica,Nadice
Najda,Najda
Najdan,Najdane
Nana,Nano
Nastasija,Nastasija
Nata,Nato
Natalija,Natalija
Nataša,Nataša
Naum,Naume
Nađa,Nađa
Nebojša,Nebojša
Neda,Nedo
Nedeljka,Nedeljka
Nedeljko,Nedeljko
Negica,Negice
Negomir,Negomire
Negomirka,Negomirka
Negosava,Negosava
Negoslav,Negoslave
Negoslava,Negoslava
Negoslavka,Negoslavka
Negovan,Negovane
Negovanka,Negovanka
Nela,Nela
Nemanja,Nemanja
Nenad,Nenade
Nestor,Nestore
Neven,Nevene
Nevena,Nevena
Nevenka,Nevenka
Nevenko,Nevenko
Neđeljka,Neđeljka
Neđeljko,Neđeljko
Neđo,Neđo
Neško,Neško
Nikašin,Nikašine
Nikodije,Nikodije
Nikodim,Nikodime
Nikola,Nikola
Nikoleta,Nikoleta
Nikolija,Nikolija
Nikolina,Nikolina
Nikon,Nikone
Nikša,Nikša
Nina,Nina
Ninko,Ninko
Nino,Nino
Ninoslav,Ninoslave
Ninoslava,Ninoslava
Nićifor,Nićifore
Nišava,Nišava
Njegoje,Njegoje
Njegomir,Njegomire
Njegomirka,Njegomirka
Njegosav,Njegosave
Njegosava,Njegosava
Njegoslav,Njegoslave
Njegoslava,Njegoslava
Njegovan,Njegovane
Njegoš,Njegošu
Njeguš,Njegušu
Novak,Novače
Novica,Novice
Noviša,Noviša
Novka,Novka
Novko,Novko
Novo,Novo
Obrad,Obrade
Obradin,Obradine
Obradinka,Obradinka
Obren,Obrene
Obrenija,Obrenija
Obrenko,Obrenko
Obreten,Obretene
Ognjan,Ognjane
Ognjana,Ognjana
Ognjanka,Ognjanka
Ognjen,Ognjene
Ognjena,Ognjena
Ognjenka,Ognjenka
Ojdana,Ojdana
Oleg,Oleže
Olga,Olga
Olgica,Olgice
Oliver,Olivere
Olivera,Olivera
Oliverka,Oliverka
Olja,Olja
Oskar,Oskare
Ostoja,Ostoja
Otaš,Otaše
Ozarija,Ozarija
Ozren,Ozrene
Ozrenka,Ozrenka
Ozriša,Ozriša
Pajka,Pajka
Panta,Panto
Pantelija,Pantelija
Panto,Panto
Paraskeva,Paraskeva
Paulina,Paulina
Paun,Paune
Pauna,Pauna
Pava,Pavo
Pavija,Pavija
Pavić,Paviću
Pavka,Pavka
Pavko,Pavko
Pavle,Pavle
Pavlija,Pavlija
Pavlina,Pavlina
Pavlić,Pavliću
Peđa,Peđa
Pejak,Pejače
Pejka,Pejka
Pejko,Pejko
Pejo,Pejo
Peladija,Peladija
Pelagija,Pelagija
Pepica,Pepice
Pera,Pero
Peran,Perane
Perica,Perice
Periša,Periša
Perka,Perka
Perko,Perko
Pero,Pero
Persa,Perso
Persida,Persida
Perun,Perune
Perunika,Perunika
Perunko,Perunko
Petak,Petače
Petar,Petre
Petkana,Petkana
Petko,Petko
Petoje,Petoje
Petoš,Petoše
Petra,Petra
Petrašin,Petrašine
Petrija,Petrija
Petrojka,Petrojka
Petronije,Petronije
Petruša,Petruša
Petruška,Petruška
Pilip,Pilipe
Plamenka,Plamenka
Planinka,Planinka
Plavša,Plavša
Podgorka,Podgorka
Poleksija,Poleksija
Poljka,Poljka
Poznan,Poznane
Poznana,Poznana
Predrag,Predraže
Premil,Premile
Prerad,Prerade
Prodan,Prodane
Prodana,Prodana
Prohor,Prohore
Prokopije,Prokopije
Prvoslav,Prvoslave
Prvoslava,Prvoslava
Prvoslavka,Prvoslavka
Punan,Punane
Puniša,Puniša
Pureš,Pureše
Puriša,Puriša
Purko,Purko
Puro,Puro
Racko,Racko
Rada,Rado
Radak,Radače
Radan,Radane
Radana,Radana
Radanka,Radanka
Radas,Radase
Radašin,Radašine
Rade,Rade
Raden,Radene
Radena,Radena
Radenka,Radenka
Radenko,Radenko
Radeta,Radeta
Radica,Radice
Radika,Radika
Radimir,Radimire
Radin,Radine
Radina,Radina
Radinka,Radinka
Radinko,Radinko
Radisav,Radisave
Radisavka,Radisavka
Radislav,Radislave
Radislava,Radislava
Radislavka,Radislavka
Radivoj,Radivoju
Radivoje,Radivoje
Radivojka,Radivojka
Radič,Radiče
Radiša,Radiša
Radman,Radmane
Radmila,Radmila
Radmilo,Radmilo
Radna,Radna
Radoba,Radoba
Radobud,Radobude
Radoica,Radoice
Radoja,Radoja
Radoje,Radoje
Radojica,Radojice
Radojka,Radojka
Radojko,Radojko
Radojla,Radojla
Radojlo,Radojlo
Radoljub,Radoljube
Radoman,Radomane
Radomir,Radomire
Radomira,Radomira
Radomirka,Radomirka
Radonja,Radonja
Radosav,Radosave
Radosija,Radosija
Radoslav,Radoslave
Radoslava,Radoslava
Radoslavka,Radoslavka
Radota,Radota
Radovan,Radovane
Radovanka,Radovanka
Radovin,Radovine
Radovinka,Radovinka
Radoš,Radoše
Raduka,Raduka
Radukan,Radukane
Radul,Radule
Radula,Radula
Radule,Radule
Radulin,Raduline
Radulka,Radulka
Radun,Radune
Radunka,Radunka
Radusin,Radusine
Raduša,Raduša
Raduška,Raduška
Rafailo,Rafailo
Raica,Raice
Rain,Raine
Raič,Raiče
Raičko,Raičko
Rajak,Rajače
Rajan,Rajane
Rajica,Rajice
Rajka,Rajka
Rajko,Rajko
Rajna,Rajna
Rajčeta,Rajčeta
Ralen,Ralene
Raleta,Raleta
Ranisav,Ranisave
Ranka,Ranka
Ranko,Ranko
Ranđa,Ranđo
Ranđel,Ranđele
Raosav,Raosave
Rasko,Rasko
Rastislav,Rastislave
Rastko,Rastko
Ratibor,Ratibore
Ratiborka,Ratiborka
Ratimir,Ratimire
Ratislav,Ratislave
Ratka,Ratka
Ratko,Ratko
Ratomir,Ratomire
Razumenka,Razumenka
Račeta,Račeta
Rađen,Rađene
Raško,Raško
Rekula,Rekula
Relja,Relja
Resan,Resane
Rista,Risto
Ristan,Ristane
Ristivoj,Ristivoju
Ristivoje,Ristivoje
Risto,Risto
Rodoljub,Rodoljube
Roksa,Roksa
Roksanda,Roksanda
Rosa,Roso
Rosanda,Rosanda
Rumenka,Rumenka
Rusimir,Rusimire
Rusmir,Rusmire
Rusmira,Rusmira
Ruzmarinka,Ruzmarinka
Ruzmirka,Ruzmirka
Ruža,Ružo
Ružica,Ružice
Sajka,Sajka
Samuilo,Samuilo
Sandra,Sandra
Sanela,Sanela
Sanja,Sanja
Sara,Saro
Sava,Savo
Savan,Savane
Savatije,Savatije
Saveta,Saveta
Savetka,Savetka
Savica,Savice
Savić,Saviću
Savka,Savka
Savko,Savko
Savo,Savo
Sazdana,Sazdana
Saša,Saša
Sekana,Sekana
Sekula,Sekula
Sekule,Sekule
Selak,Selače
Selena,Selena
Selimir,Selimire
Senija,Senija
Senka,Senka
Serafim,Serafime
Sergej,Sergeju
Sergije,Sergije
Sevetka,Sevetka
Sibin,Sibine
Sibina,Sibina
Sibinka,Sibinka
Sima,Simo
Simana,Simana
Simeon,Simeone
Simeun,Simeune
Simeuna,Simeuna
Simka,Simka
Simo,Simo
Simon,Simone
Simona,Simona
Simonida,Simonida
Sinadin,Sinadine
Siniša,Siniša
Sinđelija,Sinđelija
Sinđa,Sinđo
Sinđel,Sinđele
Sinđelija,Sinđelija
Skorosav,Skorosave
Skorosava,Skorosava
Sladoje,Sladoje
Slatka,Slatka
Slaven,Slavene
Slavenka,Slavenka
Slavenko,Slavenko
Slavica,Slavice
Slavimir,Slavimire
Slaviša,Slaviša
Slavka,Slavka
Slavko,Slavko
Slavna,Slavna
Slavo,Slavo
Slavojka,Slavojka
Slavoljub,Slavoljube
Slavomir,Slavomire
Slavuj,Slavuju
Slavujka,Slavujka
Slađan,Slađane
Slađana,Slađana
Slađanka,Slađanka
Slobodan,Slobodane
Slobodanka,Slobodanka
Slovenka,Slovenka
Smilja,Smiljo
Smiljan,Smiljane
Smiljana,Smiljana
Smiljka,Smiljka
Smiljko,Smiljko
Smoljan,Smoljane
Smoljana,Smoljana
Smoljka,Smoljka
Snežana,Snežana
Snježan,Snježane
Snježana,Snježana
Sofija,Sofija
Sofka,Sofka
Sofronije,Sofronije
Soja,Sojo
Sojka,Sojka
Soka,Soko
Soko,Sokole
Sokol,Sokole
Solomon,Solomone
Solumija,Solumija
Sonja,Sonja
Sotir,Sotire
Sovija,Sovija
Sovka,Sovka
Spasena,Spasena
Spasenija,Spasenija
Spasenka,Spasenka
Spasoja,Spasoja
Spasoje,Spasoje
Spira,Spiro
Spiridon,Spiridone
Spomenka,Spomenka
Spomenko,Spomenko
Spridon,Spridone
Srba,Srbo
Srbijanka,Srbijanka
Srbislav,Srbislave
Srbislava,Srbislava
Srboljub,Srboljube
Srboslav,Srboslave
Srdan,Srdane
Sredoja,Sredoja
Sredoje,Sredoje
Sreten,Sretene
Sretenka,Sretenka
Sretko,Sretko
Sreto,Sreto
Sretoje,Sretoje
Srećan,Srećane
Srećko,Srećko
Srpko,Srpko
Srđa,Srđo
Srđan,Srđane
Staja,Stajo
Stajka,Stajka
Stajko,Stajko
Stajo,Stajo
Staka,Stako
Stamat,Stamate
Stamen,Stamene
Stamena,Stamena
Stamenija,Stamenija
Stamenka,Stamenka
Stamenko,Stamenko
Stana,Stano
Stanava,Stanava
Stanača,Stanača
Stanica,Stanice
Stanija,Stanija
Stanika,Stanika
Stanimir,Stanimire
Stanimirka,Stanimirka
Stanisav,Stanisave
Stanisava,Stanisava
Stanislav,Stanislave
Stanislava,Stanislava
Stanislavka,Stanislavka
Staniša,Staniša
Stanka,Stanka
Stanko,Stanko
Stanoja,Stanoja
Stanoje,Stanoje
Stanojka,Stanojka
Stanojko,Stanojko
Stanojla,Stanojla
Stanojlo,Stanojlo
Stavra,Stavro
Staša,Stašo
Stefan,Stefane
Stefana,Stefana
Stefanija,Stefanija
Stepan,Stepane
Steva,Stevo
Stevan,Stevane
Stevanija,Stevanija
Stevanka,Stevanka
Stevica,Stevice
Stevka,Stevka
Stevo,Stevo
Stjepan,Stjepane
Stoiljko,Stoiljko
Stoin,Stoine
Stoisava,Stoisava
Stoić,Stoiću
Stoja,Stojo
Stojadin,Stojadine
Stojadinka,Stojadinka
Stojak,Stojače
Stojan,Stojane
Stojana,Stojana
Stojanka,Stojanka
Stojiljko,Stojiljko
Stojka,Stojka
Stojko,Stojko
Stojmen,Stojmene
Stojna,Stojna
Stojša,Stojša
Stokan,Stokane
Stole,Stole
Stracimir,Stracimire
Strahin,Strahine
Strahinja,Strahinja
Strain,Straine
Strainja,Strainja
Strajin,Strajine
Stratimir,Stratimire
Stribor,Stribore
Struja,Strujo
Sunčanica,Sunčanice
Sunčica,Sunčice
Suzana,Suzana
Svetibor,Svetibore
Svetislav,Svetislave
Svetislava,Svetislava
Svetislavka,Svetislavka
Svetko,Svetko
Svetlana,Svetlana
Svetoje,Svetoje
Svetolik,Svetoliče
Svetoljub,Svetoljube
Svetomir,Svetomire
Svetorad,Svetorade
Svetozar,Svetozare
Svjetlana,Svjetlana
Šako,Šako
Šakota,Šakota
Šale,Šale
Šana,Šano
Šiško,Šiško
Špiro,Špiro
Šumenko,Šumenko
Šutan,Šutane
Šćepan,Šćepane
Tada,Tado
Tadej,Tadeje
Tadeja,Tadeja
Tadija,Tadija
Tajana,Tajana
Takosava,Takosava
Tamara,Tamara
Tanacko,Tanacko
Tanasija,Tanasija
Tanasije,Tanasije
Tanasko,Tanasko
Tanja,Tanja
Tankosa,Tankosa
Tankosava,Tankosava
Tara,Taro
Tatjana,Tatjana
Tatomir,Tatomire
Taško,Taško
Tea,Tea
Teodor,Teodore
Teodora,Teodora
Teodosije,Teodosije
Teofan,Teofane
Teofil,Teofile
Teohar,Teohare
Teona,Teona
Tereza,Tereza
Tešan,Tešane
Tešman,Tešmane
Tihomir,Tihomire
Tihomirka,Tihomirka
Tijana,Tijana
Timka,Timka
Timotej,Timoteju
Timotije,Timotije
Tina,Tina
Tiodor,Tiodore
Tiosav,Tiosave
Tiosava,Tiosava
Toda,Todo
Todor,Todore
Todora,Todora
Toma,Tomo
Tomana,Tomana
Tomanija,Tomanija
Tomaš,Tomaše
Tomica,Tomice
Tomislav,Tomislave
Tomislava,Tomislava
Tomka,Tomka
Tomo,Tomo
Toplica,Toplice
Toša,Tošo
Tošo,Tošo
Trajan,Trajane
Trajanka,Trajanka
Trajko,Trajko
Trajče,Trajče
Trifko,Trifko
Trifun,Trifune
Trile,Trile
Tripko,Tripko
Tripo,Tripo
Tripun,Tripune
Triva,Trivo
Trivko,Trivko
Trivo,Trivo
Trivun,Trivune
Triša,Trišo
Trišo,Trišo
Trojan,Trojane
Trpko,Trpko
Tugomir,Tugomire
Tvrtko,Tvrtko
Ubavka,Ubavka
Uglješa,Uglješa
Ugren,Ugrene
Ugrin,Ugrine
Ugrinja,Ugrinja
Ugrinka,Ugrinka
Umiljen,Umiljene
Una,Una
Uranko,Uranko
Uroš,Uroše
Urošica,Urošice
Utešen,Utešene
Utješen,Utješene
Vajo,Vajo
Valerija,Valerija
Vanja,Vanja
Vartolomej,Vartolomeju
Varvara,Varvara
Vasa,Vaso
Vasilija,Vasilija
Vasilije,Vasilije
Vasilj,Vasilju
Vasiljka,Vasiljka
Vasiljko,Vasiljko
Vasilka,Vasilka
Vaska,Vaska
Vasko,Vasko
Vaskrsija,Vaskrsija
Vaskrsije,Vaskrsije
Vaso,Vaso
Vasoje,Vasoje
Vatolj,Vatolju
Vedran,Vedrane
Vekoslav,Vekoslave
Velemir,Velemire
Velibor,Velibore
Veliborka,Veliborka
Velika,Velika
Velimir,Velimire
Velimirka,Velimirka
Velina,Velina
Velinka,Velinka
Velisav,Velisave
Velisava,Velisava
Velislav,Velislave
Velizar,Velizare
Veličko,Veličko
Veliša,Veliša
Veljko,Veljko
Vera,Vera
Veran,Verane
Verica,Verice
Verka,Verka
Veroljub,Veroljube
Veronika,Veronika
Veroslava,Veroslava
Vesa,Veso
Vesela,Vesela
Veselin,Veseline
Veselina,Veselina
Veselinka,Veselinka
Veselka,Veselka
Veselko,Veselko
Veska,Veska
Vesko,Vesko
Vesna,Vesna
Veso,Veso
Vid,Vide
Vida,Vido
Vidak,Vidače
Vidan,Vidane
Vidač,Vidače
Viden,Videne
Vidoja,Vidoja
Vidoje,Vidoje
Vidojka,Vidojka
Vidojko,Vidojko
Vidosav,Vidosave
Vidosava,Vidosava
Vidoslav,Vidoslave
Viktor,Viktore
Viktorija,Viktorija
Vilotije,Vilotije
Vinka,Vinka
Violeta,Violeta
Vitka,Vitka
Vitko,Vitko
Vitomir,Vitomire
Vitomirka,Vitomirka
Vićan,Vićane
Vićentije,Vićentije
Višeslav,Višeslave
Višeslava,Višeslava
Višnja,Višnja
Vjekoslav,Vjekoslave
Vlada,Vlado
Vladan,Vladane
Vladana,Vladana
Vladanka,Vladanka
Vlade,Vlade
Vladeta,Vladeta
Vladica,Vladice
Vladimir,Vladimire
Vladimirka,Vladimirka
Vladisav,Vladisave
Vladislav,Vladislave
Vladislava,Vladislava
Vladislavka,Vladislavka
Vlado,Vlado
Vladoje,Vladoje
Vladun,Vladune
Vlaisav,Vlaisave
Vlajka,Vlajka
Vlajko,Vlajko
Vlasije,Vlasije
Vlasta,Vlasto
Vlastimir,Vlastimire
Vlastimirka,Vlastimirka
Vlatka,Vlatka
Vlatko,Vlatko
Vlaško,Vlaško
Voica,Voice
Voin,Voine
Voja,Vojo
Vojdrag,Vojdraže
Vojimir,Vojimire
Vojin,Vojine
Vojinka,Vojinka
Vojislav,Vojislave
Vojislava,Vojislava
Vojislavka,Vojislavka
Vojka,Vojka
Vojkan,Vojkane
Vojko,Vojko
Vojo,Vojo
Vugdrag,Vugdraže
Vuica,Vuica
Vuilo,Vuilo
Vuin,Vuine
Vujadin,Vujadine
Vujadinka,Vujadinka
Vujak,Vujače
Vujan,Vujane
Vujana,Vujana
Vujeta,Vujeta
Vujka,Vujka
Vujko,Vujko
Vujo,Vujo
Vujoš,Vujoše
Vujčeta,Vujčeta
Vujčin,Vujčine
Vuk,Vuče
Vukadin,Vukadine
Vukadinka,Vukadinka
Vukajlo,Vukajlo
Vukalj,Vukalju
Vukalo,Vukalo
Vukan,Vukane
Vukana,Vukana
Vukas,Vukase
Vukač,Vukače
Vukašin,Vukašine
Vukelja,Vukelja
Vukena,Vukena
Vukica,Vukice
Vukić,Vukiću
Vukman,Vukmane
Vukmir,Vukmire
Vukmira,Vukmira
Vuko,Vuko
Vukoica,Vukoice
Vukoje,Vukoje
Vukojica,Vukojice
Vukola,Vukola
Vukoman,Vukomane
Vukomir,Vukomire
Vukosav,Vukosave
Vukosava,Vukosava
Vukoslav,Vukoslave
Vukota,Vukota
Vukovoje,Vukovoje
Vuksan,Vuksane
Vuksana,Vuksana
Vukša,Vukša
Vule,Vule
Vuleta,Vuleta
Vunko,Vunko
Vuzman,Vuzmane
Vuča,Vučo
Vučan,Vučane
Vučen,Vučene
Vučeta,Vučeta
Vučina,Vučina
Vučić,Vučiću
Vučko,Vučko
Vučur,Vučure
Zafir,Zafire
Zaga,Zago
Zagorka,Zagorka
Zaharije,Zaharije
Zarija,Zarija
Zarije,Zarije
Zavida,Zavida
Zaviša,Zaviša
Zdraviša,Zdraviša
Zdravka,Zdravka
Zdravko,Zdravko
Zlata,Zlato
Zlatan,Zlatane
Zlatana,Zlatana
Zlatanka,Zlatanka
Zlatibor,Zlatibore
Zlatiborka,Zlatiborka
Zlatica,Zlatice
Zlatija,Zlatija
Zlatimir,Zlatimire
Zlatinka,Zlatinka
Zlatka,Zlatka
Zlatko,Zlatko
Zlatoje,Zlatoje
Zlatomir,Zlatomire
Zlatomirka,Zlatomirka
Zlatosav,Zlatosave
Zlatoslav,Zlatoslave
Zoja,Zoja
Zora,Zoro
Zoran,Zorane
Zorana,Zorana
Zoranka,Zoranka
Zorica,Zorice
Zorislava,Zorislava
Zorka,Zorka
Zrinka,Zrinka
Zrinko,Zrinko
Zvezdan,Zvezdane
Zvezdana,Zvezdana
Zvezdodrag,Zvezdodraže
Zvezdoslav,Zvezdoslave
Zvjezdan,Zvjezdane
Zvjezdana,Zvjezdana
Zvonimir,Zvonimire
Zvonka,Zvonka
Zvonko,Zvonko
Žaklina,Žaklina
Žanka,Žanka
Žarko,Žarko
Želimir,Želimire
Želimirka,Želimirka
Željana,Željana
Željka,Željka
Željko,Željko
Žika,Žiko
Žikica,Žikice
Žitomir,Žitomire
Živa,Živo
Živadin,Živadine
Živadinka,Živadinka
Živan,Živane
Živana,Živana
Živanka,Živanka
Živanko,Živanko
Živica,Živice
Živka,Živka
Živkica,Živkice
Živko,Živko
Živodarka,Živodarka
Živoin,Živoine
Živoje,Živoje
Živojin,Živojine
Živoljub,Živoljube
Živomir,Živomire
Živomirka,Živomirka
Živorad,Živorade
Živoratka,Živoratka
Živoslav,Živoslave
Živoslava,Živoslava
Živoslavka,Živoslavka
Života,Života
Životije,Životije